scheme_code,scheme_name,isin_growth,isin_reinvestment,plan,aum,ter_pct,ter_date,nsdl_scheme_code
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,INF209KA12Z1,INF209KA13Z9,direct,39984000,,,
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,INF209K01YM2,,direct,15932000,,,
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,INF209K01YO8,,direct,11830000,,,
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,INF209K01LX6,INF209KA11Z3,regular,27510000,,,
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,INF209K01LU2,,regular,17990000,,,
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,INF209K01LN7,,regular,61989000,,,
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,INF209K01LV0,,regular,21249014000,,,
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,INF209K01YN0,,direct,66963640000,,,
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,INF846K01NF8,,direct,,,,
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,,INF846K01CU0,direct,5977000,,,
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,INF846K01CR6,,direct,90275525000,,,
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,INF846K01CT2,INF846K01CS4,direct,10811000,,,
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,INF846K01CV8,INF846K01CW6,direct,9753000,,,
128953,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,INF846K01NG6,,regular,,,,
117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,,INF846K01CC8,regular,11632000,,,
117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,INF846K01CB0,,regular,33621673000,,,
117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,INF846K01CF1,INF846K01CG9,regular,59087000,,,
117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,INF846K01CD6,INF846K01CE4,regular,11150000,,,
152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,INF0QA701649,INF0QA701631,direct,218000,,,
152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,INF0QA701615,INF0QA701623,direct,869000,,,
152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,INF0QA701557,,regular,553511000,,,
152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,INF0QA701565,INF0QA701573,regular,970000,,,
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,INF0QA701607,,direct,2717637000,,,
152167,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,INF0QA701599,INF0QA701581,regular,1002000,,,
121936,Bandhan Banking and PSU Fund - Direct Annual IDCW,INF194K019M8,,direct,305000,,,
127471,Bandhan Banking and PSU Fund - Direct Daily IDCW,,INF194KA1JD3,direct,662000,,,
121934,Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,,INF194K010N5,direct,4583000,,,
121279,Bandhan Banking and PSU Fund - Direct Growth,INF194K015G8,,direct,81653854000,,,
121281,Bandhan Banking and PSU Fund - Direct IDCW,INF194K016G6,INF194K017G4,direct,1670000,,,
121935,Bandhan Banking and PSU Fund - Direct Monthly IDCW,,INF194K011N3,direct,1755000,,,
121938,Bandhan Banking and PSU Fund - Direct Quarterly IDCW,INF194K018M0,,direct,7322000,,,
121933,Bandhan Banking and PSU Fund - Regular Annual IDCW,INF194K015M6,,regular,5118000,,,
127470,Bandhan Banking and PSU Fund - Regular Daily IDCW,,INF194KA1JC5,regular,11351000,,,
